Focal Length (ƒ mm),Max Apert.(1/F),Lens Name,Production Years,"Filter
(mm)","Min Focus
(cm)",6-bit Code,Made In
12,5.6,Voigtländer 12mm f/5.6 II Asph,2000–,67,70,,Japan
15,2.8,"Zeiss Distagon T*2,8/15 ZM",2012–,72,30,,Germany
15,4.5,Voigtländer 15mm f/4.5 M II Asph,2009–,52,50,,Japan
16,4.0,Leica Tri-Elmar-M 16-18-21mm f/4 ASPH.,2006–,67,50,010000,Germany
18,3.8,Leica Super-Elmar-M 18mm f/3.8 ASPH.,2006–,77,70,110100,Germany
18,4.0,Zeiss Distagon T* 18mm f/4 ZM,2007–,58,50,,Japan
21,1.4,Leica Summilux-M 21mm f/1.4 ASPH.,2008–,—,70,101111,Germany
21,1.8,Voigtländer 21mm f/1.8 Ultron Aspherical,2012–,58,50,,Japan
21,2.8,Leica Elmarit-M 21mm f/2.8 ASPH.,1997–,55,70,000001,Germany
21,2.8,"Zeiss Biogon T*2,8/21 ZM",2004–,46,50,,Japan
21,3.4,Leica Super-Elmar-M 21mm f/3.4 ASPH.,2011–,46,70,110011,Germany
21,4.0,Leitz 21mm f/4 Super-Angulon,1958–1963,39,40,,Germany
21,4.0,Voigtländer 21mm f/4,2007–,39,50,,Japan
21,4.5,Zeiss ZM 21mm f/4.5,2004–,46,50,,Japan
24,1.4,Leica Summilux-M 24mm f/1.4 ASPH.,2008–,72*,70,110000,Germany
24,2.8,Leica Elmarit-M 24mm f/2.8 ASPH.,1996–,55,70,011001,Germany
24,3.8,Leica Elmar-M 24mm f/3.8 ASPH.,2008–,46,70,110010,
25,2.8,"Zeiss Biogon T*2,8/25 ZM",,46,50,,
28,1.9,Voigtländer 28mm F/1.9,2000–2008,46,70,,Japan
28,2.0,Leica Summicron-M 28mm f/2 ASPH.,2000–,46,70,011010,Germany
28,2.0,Voigtlander 28mm F/2,2008–,46,70,,Japan
28,2.8,Leica Elmarit-M 28mm f/2.8 (Ver. 3),,,,000011,
28,2.8,Leica Elmarit-M 28mm f/2.8 (Ver. 4),,,,011011,
28,2.8,Leica Elmarit-M 28mm f/2.8 ASPH.,2006–,39,70,011100,Germany
28,2.8,"Zeiss Biogon T*2,8/28 ZM",2004–,46,50,,Japan
28,2.8,Konica M 28mm F/2.8,1999–2003,46,70,,Japan
28,2.8,Minolta M-Rokkor 28mm F/2.8,,,,,
28,4.0,Tri-Elmar-M 28-35-50mm f/4 ASPH.,1998–,,,101010,
35,1.4,Leica Summilux-M 35mm f/1.4 ASPH. FL*,2010–,46,70,011101,Germany
35,1.4,Leica Summilux-M 35mm f/1.4 ASPH.,1994–2010,46,70,011101,Germany
35,1.4,Leica Summilux 35mm F/1.4,1960–1995,41,100,,Canada
35,1.4,"Zeiss Distagon T*1,4/35 ZM",,,,,
35,2.0,Leica Summicron-M 35mm f/2 ASPH.,1996–,,,011110,Germany
35,2.0,Leica Summicron-M 35mm F/2 (Ver. 4),1987–1996,39,70,000110,Germany
35,2.0,Leica Summicron-M 35mm F/2 (Ver. 4),1979–1988,39,70,000110,Canada
35,2.0,Leica Summicron 35mm F/2 (Ver. 3),1971–1979,39,,,Canada
